ST_CASE,LATITUDE,LONGITUD
10001,31.927975,-86.53883333
10002,30.50874444,-88.27321389
10003,34.73833333,-86.375825
10004,31.01478056,-86.74669444
10005,31.02740556,-87.6438
10006,33.22190556,-86.38474722
10007,34.44845556,-86.52765556
10008,33.02797222,-85.94111111
10009,32.38221389,-88.19781389
10010,32.10828056,-86.52649167
10011,34.10104444,-87.39218889
10012,32.51246111,-86.45651944
10013,30.56732222,-87.76065833
10014,33.409225,-86.97589444
10015,32.4605,-86.41808889
10016,34.26632222,-86.21219444
10017,34.24958333,-86.10768056
10018,34.75966667,-87.69033056
10019,34.88653056,-87.16217778
10020,32.66486389,-85.47311944
10021,33.13279167,-87.479475
10022,34.68618056,-86.121575
10023,30.62540278,-88.25841389
10024,34.67899722,-86.25980833
10025,33.35456111,-86.8531
10026,33.52293889,-86.79969722
10027,32.37151944,-87.01441389
10028,32.46204444,-85.22640556
10029,31.44830278,-85.69374444
10030,34.96879722,-86.56841389
10031,34.66165278,-86.78654167
10032,33.69981667,-85.80853056
10033,34.05989444,-86.60065
10034,30.983725,-88.12447222
10035,33.83238889,-86.28715556
10037,33.94964444,-85.66362778
10038,33.36641111,-87.434525
10039,30.56204167,-88.19935556
10040,34.43135278,-85.75604722
10041,30.71164167,-88.09763056
10042,30.55826111,-88.19546389
10043,33.73618611,-86.32035
10044,30.49578889,-88.33895278
10045,34.73041389,-87.68379722
10046,31.950225,-85.19660556
10047,34.24099167,-85.524275
10048,30.65873056,-87.89008889
10049,32.59830278,-85.80135278
10050,33.99073611,-85.59940556
10051,33.4757,-86.81571389
10052,33.43064444,-86.71108889
10053,34.28915556,-86.94586667
10054,33.391525,-86.78424167
10055,33.50821389,-86.82138889
10056,34.47698889,-88.06257222
10057,33.59725833,-85.93728611
10058,32.43374167,-84.980825
10059,34.86291389,-85.60091111
10060,33.69407778,-85.69881667
10061,32.42029444,-86.26848333
10062,32.58888056,-85.45861667
10063,30.651525,-88.161075
10064,33.79472222,-86.68668333
10065,34.85695278,-86.86068333
10066,32.51683056,-86.03111667
10067,34.32739444,-86.83042778
10068,30.55865833,-88.18529722
10069,33.63482222,-86.72802222
10070,30.62865,-88.11328611
10071,34.20255278,-86.29467778
10072,33.25660278,-87.67691111
10073,34.70668611,-86.74119722
10074,34.37916111,-87.09301667
10075,33.43168333,-86.30441944
10076,33.88259167,-86.64585278
10077,34.71773333,-86.56159444
10078,32.44000833,-87.25093333
10079,34.82382222,-85.78124444
10080,34.57604167,-87.22489167
10081,31.86375278,-85.3812
10082,34.99196389,-86.87931389
10083,31.44450278,-86.61530833
10084,32.90294167,-86.91511944
10085,31.80149722,-86.60899444
10086,33.51084722,-86.89278333
10087,33.54399722,-86.59818889
10088,31.762625,-85.89778056
10089,32.48700833,-86.89550278
10090,33.10176667,-88.13794722
10091,32.32043056,-87.38451667
10092,33.89684722,-86.39945278
10093,34.12026111,-86.89445556
10094,30.66147778,-87.86930556
10095,33.64202778,-86.27756389
10096,30.44721667,-88.21703611
10097,31.61463056,-85.98586667
10098,30.75671944,-88.225575
10099,33.94356667,-87.85076389
10100,33.54508056,-86.64946667
10101,32.5216,-86.89802222
10102,33.961025,-85.40671944
10103,33.54840556,-86.54384722
10104,33.54371389,-86.64268056
10105,31.1118,-86.95663611
10106,34.73095278,-87.85557778
10107,30.69010556,-88.07088056
10108,31.63543611,-86.57088333
10109,30.60879722,-88.07477222
10110,34.29135278,-87.58554722
10111,30.86085,-88.41430556
10112,33.69643056,-86.67257778
10113,32.42322222,-86.96154722
10114,33.60955833,-86.582325
10115,31.65925278,-85.28007222
10116,33.40629722,-86.79378889
10117,33.61588889,-85.667375
10118,31.73101111,-85.92028611
10119,33.72174167,-85.84368333
10120,32.92718056,-87.83540833
10121,34.75455556,-87.43285278
10122,34.74635,-85.91579722
10123,34.34753056,-86.45670278
10124,32.42660278,-85.03563056
10125,32.36308333,-86.29995556
10126,32.05815556,-87.79236944
10127,31.64095833,-86.73195833
10128,32.79348611,-86.90693889
10129,34.93186111,-87.78362778
10130,34.73284444,-86.78629444
10131,33.43939444,-86.941075
10132,32.52731389,-86.20610278
10133,34.29231944,-87.14398889
10134,33.19837222,-87.53890556
10136,31.46061944,-87.40509722
10137,33.026675,-87.18549167
10138,31.77713056,-85.9359
10139,31.45915,-85.66834444
10140,34.21835833,-87.91235556
10141,31.30485833,-86.39624444
10142,31.75111944,-88.03578056
10143,30.83153889,-88.38606111
10144,34.88470556,-86.73896944
10145,33.76604167,-85.71595
10146,33.66527778,-86.83144167
10147,32.34248611,-86.95635556
10148,31.22368056,-86.28018611
10149,30.87748889,-88.12364722
10150,33.34208889,-86.18749722
10151,34.90190556,-86.67381667
10152,33.53560556,-86.71984444
10153,34.15887222,-86.35254167
10154,30.56745,-87.85224722
10155,32.45683611,-87.5422
10156,34.713825,-86.62693889
10157,33.69071111,-86.28174444
10158,34.94210278,-87.09398333
10159,33.63563889,-86.95567778
10160,33.94232222,-86.41411944
10161,30.66173611,-88.24159722
10162,34.04401111,-87.38936667
10163,32.23155278,-87.23378056
10164,34.63437222,-85.90679722
10165,31.73565,-86.37991944
10166,33.44984167,-86.81782778
10167,32.36533056,-86.285675
10168,34.47348611,-86.63823056
10169,33.68173056,-86.68076667
10170,33.59154722,-86.71340278
10171,33.4863,-86.82565
10172,34.80740556,-87.641425
10173,31.00565833,-87.30811944
10174,33.96003889,-86.04441667
10175,31.87364722,-85.14496389
10176,33.96990556,-86.45189444
10177,33.890475,-86.75497222
10178,33.94855278,-87.60008889
10179,32.32232778,-86.23848333
10180,31.87872778,-85.1487
10181,33.15035278,-85.32857778
10182,34.38587778,-85.74358056
10183,31.61222222,-87.68512778
10184,30.823325,-87.77396667
10185,34.48776944,-86.38196667
10186,30.79285556,-87.77043611
10187,34.79925278,-87.29503056
10188,32.45041111,-87.95627778
10189,33.60452222,-86.22931111
