ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
10001,1,4,4,22,31.927975,-86.53883333,1,2,1,1,55,1,0,55
10002,3,20,2,2,30.50874444,-88.27321389,42,2,1,1,65,1,1,45
10003,3,18,7,22,34.73833333,-86.375825,35,2,1,1,60,1,1,45
10004,3,17,6,19,31.01478056,-86.74669444,11,2,2,1,60,1,1,35
10005,3,17,6,14,31.02740556,-87.6438,42,1,2,1,70,1,0,70
10006,3,16,5,5,33.22190556,-86.38474722,32,1,1,1,35,1,0,35
10007,3,16,5,5,34.44845556,-86.52765556,12,2,1,2,55,1,0,55
10008,3,15,4,11,33.02797222,-85.94111111,32,1,1,1,60,1,0,55
10009,3,11,7,1,32.38221389,-88.19781389,40,2,1,1,102,2,1,55
10010,1,12,5,18,32.10828056,-86.52649167,12,2,1,2,60,0,1,45
10011,1,2,2,18,34.10104444,-87.39218889,42,2,10,1,100,1,0,55
10012,1,3,3,14,32.51246111,-86.45651944,59,1,2,1,55,1,0,55
10013,1,1,1,2,30.56732222,-87.76065833,12,2,5,2,999,1,0,45
10014,1,2,2,17,33.409225,-86.97589444,8,2,1,1,999,0,0,30
10015,1,4,4,3,32.4605,-86.41808889,12,3,2,2,50,0,1,45
10016,1,2,2,2,34.26632222,-86.21219444,33,3,1,1,60,1,1,25
10017,1,1,1,21,34.24958333,-86.10768056,12,2,10,2,85,1,0,55
10018,1,1,1,17,34.75966667,-87.69033056,8,3,1,1,998,0,0,40
10019,2,8,4,9,34.88653056,-87.16217778,12,1,10,2,45,0,0,45
10020,1,6,6,17,32.66486389,-85.47311944,12,2,1,2,15,0,0,45
10021,1,7,7,0,33.13279167,-87.479475,42,2,10,1,63,1,1,40
10022,1,7,7,14,34.68618056,-86.121575,17,1,10,1,999,1,0,55
10023,1,7,7,16,30.62540278,-88.25841389,12,1,1,2,60,0,1,45
10024,1,7,7,21,34.67899722,-86.25980833,8,2,10,1,40,0,0,45
10025,1,7,7,23,33.35456111,-86.8531,42,2,1,1,999,1,0,70
10026,1,8,1,2,33.52293889,-86.79969722,12,3,10,3,0,0,0,55
10027,1,8,1,4,32.37151944,-87.01441389,38,2,10,1,65,1,1,25
10028,1,8,1,1,32.46204444,-85.22640556,18,2,1,1,60,1,1,45
10029,1,9,2,15,31.44830278,-85.69374444,12,1,1,3,60,1,0,55
10030,1,10,3,18,34.96879722,-86.56841389,12,3,1,2,100,1,0,60
10031,1,10,3,14,34.66165278,-86.78654167,57,1,1,2,999,1,0,70
10032,1,10,3,13,33.69981667,-85.80853056,12,1,1,2,10,1,0,45
10033,1,11,4,14,34.05989444,-86.60065,53,1,10,1,90,1,0,45
10034,1,11,4,5,30.983725,-88.12447222,12,2,1,2,3,0,0,0
10035,1,12,5,7,33.83238889,-86.28715556,12,1,10,2,999,0,0,45
10037,1,14,7,14,33.94964444,-85.66362778,12,1,1,2,55,1,0,55
10038,1,14,7,15,33.36641111,-87.434525,1,1,1,1,35,1,0,35
10039,1,14,7,15,30.56204167,-88.19935556,14,1,1,1,55,0,0,55
10040,1,15,1,0,34.43135278,-85.75604722,57,2,1,2,999,1,1,70
10041,1,15,1,20,30.71164167,-88.09763056,19,3,1,1,80,1,1,35
10042,1,16,2,5,30.55826111,-88.19546389,8,2,10,1,40,0,0,40
10043,1,16,2,18,33.73618611,-86.32035,42,2,10,1,70,1,0,45
10044,1,17,3,5,30.49578889,-88.33895278,1,2,10,1,80,1,0,70
10045,1,17,3,8,34.73041389,-87.68379722,12,1,10,3,999,1,0,35
10046,1,18,4,3,31.950225,-85.19660556,12,2,5,2,0,0,0,55
10047,1,18,4,9,34.24099167,-85.524275,12,1,1,2,75,0,0,55
10048,1,18,4,4,30.65873056,-87.89008889,8,2,5,1,82,0,0,70
10049,1,18,4,17,32.59830278,-85.80135278,11,2,1,1,55,1,0,45
10050,1,19,5,16,33.99073611,-85.59940556,35,1,1,1,60,2,0,35
10051,1,19,5,17,33.4757,-86.81571389,12,5,1,2,999,0,0,0
10052,1,19,5,20,33.43064444,-86.71108889,8,6,1,1,999,0,0,55
10053,1,20,6,19,34.28915556,-86.94586667,34,2,1,1,55,1,1,40
10054,1,20,6,21,33.391525,-86.78424167,8,2,1,1,999,0,0,70
10055,1,21,7,1,33.50821389,-86.82138889,12,3,1,2,999,1,0,25
10056,1,22,1,5,34.47698889,-88.06257222,42,2,2,1,55,1,0,55
10057,1,22,1,16,33.59725833,-85.93728611,12,5,2,2,65,1,0,55
10058,1,23,2,6,32.43374167,-84.980825,10,2,5,1,999,1,0,30
10059,1,24,3,10,34.86291389,-85.60091111,12,1,1,2,55,1,0,55
10060,1,24,3,12,33.69407778,-85.69881667,12,1,1,2,60,2,0,55
10061,1,24,3,17,32.42029444,-86.26848333,8,3,1,1,999,0,0,45
10062,1,24,3,23,32.58888056,-85.45861667,8,2,1,1,999,0,0,70
10063,1,27,6,17,30.651525,-88.161075,8,1,1,1,30,0,0,45
10064,1,25,4,9,33.79472222,-86.68668333,12,1,1,2,999,1,0,98
10065,1,27,6,11,34.85695278,-86.86068333,32,1,1,1,55,1,0,55
10066,1,27,6,22,32.51683056,-86.03111667,12,2,1,2,65,1,1,45
10067,1,28,7,16,34.32739444,-86.83042778,42,1,10,1,45,1,0,45
10068,1,28,7,23,30.55865833,-88.18529722,1,2,1,1,999,1,1,30
10069,1,30,2,17,33.63482222,-86.72802222,12,3,10,2,75,1,0,60
10070,1,30,2,5,30.62865,-88.11328611,1,3,5,2,999,1,0,55
10071,1,31,3,13,34.20255278,-86.29467778,12,1,2,2,55,1,1,55
10072,2,1,4,1,33.25660278,-87.67691111,34,2,2,1,65,1,1,45
10073,2,3,6,14,34.70668611,-86.74119722,12,1,1,2,12,0,0,0
10074,2,3,6,11,34.37916111,-87.09301667,12,1,1,2,10,1,0,45
10075,2,3,6,18,33.43168333,-86.30441944,12,2,1,2,45,1,1,45
10076,2,4,7,11,33.88259167,-86.64585278,12,1,1,2,70,1,0,55
10077,2,5,1,14,34.71773333,-86.56159444,53,1,1,1,998,1,0,45
10078,2,6,2,0,32.44000833,-87.25093333,32,2,1,1,70,1,1,65
10079,2,6,2,7,34.82382222,-85.78124444,1,4,5,1,999,1,0,45
10080,2,6,2,15,34.57604167,-87.22489167,12,1,1,2,60,0,0,45
10081,2,7,3,3,31.86375278,-85.3812,11,2,1,1,90,2,1,55
10082,2,7,3,22,34.99196389,-86.87931389,8,2,10,1,70,0,0,70
10083,2,7,3,10,31.44450278,-86.61530833,12,1,1,2,70,1,0,65
10084,2,7,3,6,32.90294167,-86.91511944,12,2,1,2,25,1,0,55
10085,2,8,4,19,31.80149722,-86.60899444,12,2,1,2,1,0,0,45
10086,2,8,4,4,33.51084722,-86.89278333,30,3,10,1,41,1,0,30
10087,2,10,6,10,33.54399722,-86.59818889,14,1,1,1,70,1,0,70
10088,2,10,6,19,31.762625,-85.89778056,8,2,2,1,25,0,0,55
10089,2,10,6,20,32.48700833,-86.89550278,12,2,1,2,65,1,0,45
10090,2,10,6,19,33.10176667,-88.13794722,12,2,1,2,60,1,1,45
10091,2,11,7,15,32.32043056,-87.38451667,12,1,2,2,60,1,0,55
10092,2,11,7,22,33.89684722,-86.39945278,42,2,2,1,60,1,0,45
10093,2,12,1,3,34.12026111,-86.89445556,42,2,2,1,60,1,1,45
10094,2,12,1,3,30.66147778,-87.86930556,12,2,2,4,999,1,0,70
10095,2,13,2,12,33.64202778,-86.27756389,34,1,1,1,60,1,0,55
10096,2,14,3,11,30.44721667,-88.21703611,12,1,1,2,90,1,0,45
10097,2,14,3,16,31.61463056,-85.98586667,12,1,1,2,62,0,0,55
10098,2,14,3,3,30.75671944,-88.225575,12,2,1,2,60,1,1,45
10099,2,14,3,18,33.94356667,-87.85076389,12,2,1,2,0,1,0,55
10100,2,15,4,3,33.54508056,-86.64946667,8,3,2,3,65,0,0,70
10101,2,15,4,7,32.5216,-86.89802222,34,1,10,1,70,1,0,45
10102,2,16,5,14,33.961025,-85.40671944,12,1,10,2,55,1,0,55
10103,2,17,6,9,33.54840556,-86.54384722,21,1,10,1,999,1,0,98
10104,2,17,6,16,33.54371389,-86.64268056,52,1,1,1,85,1,0,70
10105,2,17,6,21,31.1118,-86.95663611,42,2,1,1,90,1,0,45
10106,2,18,7,5,34.73095278,-87.85557778,12,2,1,2,5,1,0,45
10107,2,18,7,22,30.69010556,-88.07088056,8,3,1,1,999,0,0,30
10108,2,18,7,23,31.63543611,-86.57088333,12,2,1,2,60,1,0,55
10109,2,19,1,3,30.60879722,-88.07477222,8,3,1,1,999,0,0,45
10110,2,19,1,15,34.29135278,-87.58554722,32,1,1,1,70,1,0,45
10111,2,20,2,20,30.86085,-88.41430556,12,2,1,2,45,1,0,45
10112,2,20,2,20,33.69643056,-86.67257778,42,2,1,1,999,1,1,98
10113,2,21,3,0,32.42322222,-86.96154722,11,2,1,1,60,1,1,45
10114,2,21,3,11,33.60955833,-86.582325,42,1,2,1,999,1,0,40
10115,2,21,3,22,31.65925278,-85.28007222,35,2,1,1,75,2,0,65
10116,2,22,4,6,33.40629722,-86.79378889,25,1,10,1,999,1,0,60
10117,2,22,4,4,33.61588889,-85.667375,8,2,10,1,65,0,0,70
10118,2,22,4,14,31.73101111,-85.92028611,18,1,10,1,80,1,0,45
10119,2,22,4,21,33.72174167,-85.84368333,34,2,1,1,60,1,1,30
10120,2,24,6,3,32.92718056,-87.83540833,12,2,10,2,55,0,0,55
10121,2,24,6,10,34.75455556,-87.43285278,42,1,2,1,50,1,0,55
10122,2,24,6,22,34.74635,-85.91579722,12,2,1,2,65,0,1,65
10123,2,25,7,5,34.34753056,-86.45670278,8,2,10,1,999,0,0,65
10124,2,25,7,13,32.42660278,-85.03563056,12,1,1,2,10,1,0,65
10125,2,25,7,18,32.36308333,-86.29995556,12,3,1,2,999,0,0,35
10126,2,25,7,19,32.05815556,-87.79236944,12,2,1,2,60,0,0,45
10127,2,26,1,2,31.64095833,-86.73195833,34,3,1,1,75,1,1,35
10128,2,26,1,20,32.79348611,-86.90693889,12,2,1,2,55,1,0,55
10129,2,27,2,20,34.93186111,-87.78362778,9,2,1,1,45,0,0,45
10130,2,27,2,22,34.73284444,-86.78629444,8,3,1,1,50,0,0,50
10131,2,28,3,15,33.43939444,-86.941075,8,1,1,1,999,1,0,30
10132,2,28,3,12,32.52731389,-86.20610278,12,1,1,2,999,1,0,50
10133,2,28,3,9,34.29231944,-87.14398889,12,1,1,2,65,0,1,55
10134,2,28,3,15,33.19837222,-87.53890556,12,1,1,2,999,1,0,45
10136,3,2,5,23,31.46061944,-87.40509722,42,2,10,1,45,1,1,45
10137,3,2,5,19,33.026675,-87.18549167,35,2,2,1,70,1,1,45
10138,3,2,5,18,31.77713056,-85.9359,8,3,2,1,50,0,0,55
10139,3,3,6,10,31.45915,-85.66834444,12,1,10,2,10,2,0,50
10140,3,3,6,9,34.21835833,-87.91235556,8,1,10,1,55,0,0,55
10141,3,3,6,19,31.30485833,-86.39624444,8,2,1,1,65,0,0,65
10142,3,3,6,19,31.75111944,-88.03578056,42,2,1,1,999,1,1,55
10143,3,4,7,21,30.83153889,-88.38606111,12,2,10,2,35,1,0,55
10144,3,5,1,10,34.88470556,-86.73896944,12,1,1,2,70,1,0,55
10145,3,5,1,12,33.76604167,-85.71595,34,1,1,1,25,1,0,40
10146,2,15,4,7,33.66527778,-86.83144167,12,1,2,2,50,1,0,70
