ST_CASE,VEH_NO_x,DRIMPAIR_x,DRDISTRACT,DRIVERRF,PER_NO_x,DRUGRES,DRUGACTQTY,STATE_x,COUNTY,HARM_EV_x,MAKE_x,BODY_TYP_x,AGE,SEX,PER_TYP_x,INJ_SEV,REST_USE,REST_MIS,AIR_BAG_x,EJECTION,DRINKING,ALC_RES,HISPANIC,STATE_y,VE_FORMS,HARM_EV_y,NUMOCCS,HIT_RUN,VIN,MOD_YEAR,VPICMAKE,VPICMODEL,VPICBODYCLASS,MAKE_y,MAKENAME,MODEL,BODY_TYP_y,HAZ_INV,HAZ_PLAC,HAZ_ID,TRAV_SP,UNDEROVERRIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,M_HARM,FIRE_EXP,DR_DRINK,DR_PRES,L_STATE,DR_ZIP,L_TYPE,L_STATUS,L_COMPL,L_COMPLNAME,L_RESTRI,DR_HGT,DR_WGT,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_MONAME,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_CONFIG,STATE,RACE,ORDER,MULTRACE,CASENUM,HARM_EV,DAY_WEEK,MONTH,MAXSEV_IM,WEATHR_IM,PER_NO_y,BODY_TYP,AGE_IM,SEX_IM,INJSEV_IM,PER_TYP_y,AIR_BAG_y,EJECT_IM,MAKE,VEH_NO_y,DRIMPAIR_y
10003,1,99,96.0,0.0,1.0,1.0,-99.0,1.0,89.0,35.0,49.0,4.0,21.0,2.0,1.0,4.0,20.0,7.0,1.0,0.0,0.0,148.0,7.0,1.0,1.0,35.0,1.0,0.0,4T1BE32K16U7,2006.0,448.0,2469.0,13.0,49.0,Toyota,40.0,4.0,1.0,0.0,0.0,60.0,7.0,0.0,0.0,12.0,6.0,42.0,0.0,1.0,1.0,1.0,35802.0,1.0,6.0,3.0,Valid license for this class vehicle,1.0,61.0,130.0,0.0,0.0,0.0,0.0,No Record,0.0,0.0,0.0,3.0,1.0,2.0,45.0,2.0,6.0,2.0,1.0,97.0,14.0,12.0,99.0,1.0,4.0,102.0,1.0,1.0,1.0,0.0,202304813037.0,35.0,7.0,3.0,4.0,1.0,1.0,4.0,21.0,2.0,4.0,1.0,1.0,0.0,49.0,1.0,99.0
10004,1,9,96.0,0.0,1.0,1.0,-99.0,1.0,53.0,11.0,2.0,6.0,54.0,1.0,1.0,3.0,3.0,0.0,8.0,0.0,1.0,117.0,0.0,1.0,1.0,11.0,3.0,0.0,3C4NJDBB9JT1,2018.0,483.0,1946.0,7.0,2.0,Jeep / Kaiser-Jeep / Willys- Jeep,1.0,6.0,1.0,0.0,0.0,60.0,7.0,0.0,0.0,98.0,6.0,42.0,0.0,1.0,1.0,19.0,52402.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,73.0,250.0,0.0,0.0,1.0,7.0,July,2020.0,8.0,2020.0,3.0,1.0,2.0,35.0,3.0,6.0,2.0,1.0,98.0,14.0,87.0,7.0,1.0,4.0,101.0,1.0,0.0,1.0,0.0,202305025851.0,12.0,6.0,5.0,2.0,1.0,1.0,6.0,28.0,2.0,0.0,1.0,20.0,0.0,2.0,3.0,9.0
10019,1,0,13.0,28.0,1.0,3019.0,10.0,1.0,83.0,12.0,12.0,34.0,20.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,0.0,1FT7W2BT2JEC,2018.0,460.0,1805.0,60.0,12.0,Ford,481.0,34.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,12.0,6.0,12.0,0.0,0.0,1.0,1.0,35614.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,72.0,140.0,0.0,1.0,0.0,3.0,March,2021.0,3.0,2021.0,0.0,1.0,2.0,45.0,3.0,5.0,2.0,1.0,0.0,14.0,10.0,99.0,1.0,2.0,301.0,1.0,0.0,1.0,0.0,202304737713.0,12.0,4.0,2.0,3.0,10.0,1.0,34.0,20.0,1.0,0.0,1.0,1.0,0.0,12.0,1.0,0.0
10023,2,0,96.0,0.0,1.0,1.0,-99.0,1.0,97.0,12.0,12.0,4.0,50.0,1.0,1.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,7.0,1.0,2.0,12.0,1.0,0.0,1FAHP35N98W2,2008.0,460.0,1779.0,13.0,12.0,Ford,37.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,6.0,12.0,0.0,0.0,1.0,1.0,36695.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,69.0,200.0,0.0,0.0,0.0,7.0,July,2018.0,7.0,2018.0,0.0,1.0,2.0,45.0,1.0,1.0,2.0,1.0,20.0,1.0,66.0,99.0,1.0,1.0,504.0,1.0,1.0,1.0,0.0,202304884658.0,12.0,6.0,3.0,4.0,1.0,1.0,4.0,37.0,1.0,4.0,1.0,8.0,0.0,12.0,1.0,9.0
10030,1,0,96.0,36.0,1.0,0.0,-99.0,1.0,89.0,12.0,37.0,80.0,22.0,1.0,1.0,4.0,20.0,7.0,20.0,8.0,0.0,996.0,7.0,1.0,2.0,12.0,1.0,0.0,JH2PC2501RM3,1994.0,474.0,14060.0,98.0,37.0,Honda,705.0,80.0,1.0,0.0,0.0,100.0,7.0,8.0,8.0,12.0,6.0,12.0,0.0,0.0,1.0,1.0,35750.0,1.0,1.0,2.0,No valid license for this class vehicle,1.0,63.0,140.0,0.0,5.0,2.0,7.0,July,2018.0,1.0,2022.0,3.0,2.0,2.0,60.0,1.0,1.0,2.0,1.0,0.0,1.0,62.0,99.0,1.0,1.0,402.0,1.0,1.0,1.0,0.0,202304667990.0,12.0,3.0,1.0,4.0,1.0,1.0,80.0,22.0,1.0,4.0,1.0,20.0,8.0,37.0,1.0,0.0
10030,2,0,96.0,0.0,1.0,0.0,-99.0,1.0,89.0,12.0,12.0,6.0,67.0,2.0,1.0,2.0,3.0,0.0,8.0,0.0,0.0,996.0,0.0,1.0,2.0,12.0,1.0,0.0,2FMDK3KC0ABB,2010.0,460.0,1797.0,7.0,12.0,Ford,24.0,6.0,1.0,0.0,0.0,15.0,7.0,0.0,0.0,3.0,6.0,12.0,0.0,0.0,1.0,47.0,37334.0,1.0,6.0,3.0,Valid license for this class vehicle,3.0,63.0,125.0,0.0,0.0,0.0,0.0,No Record,0.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0,1.0,2.0,1.0,0.0,11.0,15.0,1.0,1.0,1.0,401.0,1.0,0.0,1.0,0.0,202304667990.0,12.0,3.0,1.0,4.0,1.0,1.0,6.0,67.0,2.0,2.0,1.0,8.0,0.0,12.0,2.0,0.0
10032,1,99,96.0,38.0,1.0,0.0,-99.0,1.0,15.0,12.0,37.0,4.0,88.0,2.0,1.0,4.0,3.0,0.0,8.0,0.0,8.0,996.0,7.0,1.0,2.0,12.0,1.0,0.0,19XFB2F50CE0,2012.0,474.0,1863.0,13.0,37.0,Honda,31.0,4.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,6.0,12.0,0.0,0.0,1.0,1.0,36278.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,64.0,160.0,0.0,0.0,0.0,0.0,No Record,0.0,0.0,0.0,0.0,2.0,2.0,45.0,1.0,5.0,2.0,1.0,20.0,11.0,15.0,99.0,1.0,1.0,414.0,1.0,1.0,1.0,0.0,202305472399.0,12.0,6.0,11.0,1.0,1.0,1.0,4.0,26.0,2.0,0.0,1.0,20.0,0.0,37.0,2.0,0.0
10032,2,0,0.0,0.0,1.0,0.0,-99.0,1.0,15.0,12.0,12.0,5.0,23.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,996.0,0.0,1.0,2.0,12.0,1.0,0.0,3FADP4EJ1KM1,2019.0,460.0,3267.0,5.0,12.0,Ford,32.0,5.0,1.0,0.0,0.0,70.0,0.0,0.0,0.0,12.0,6.0,12.0,0.0,0.0,1.0,13.0,36207.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,999.0,999.0,0.0,1.0,0.0,11.0,November,2020.0,11.0,2020.0,0.0,2.0,4.0,65.0,1.0,1.0,2.0,1.0,0.0,1.0,67.0,7.0,1.0,1.0,415.0,1.0,0.0,1.0,0.0,202304763735.0,12.0,3.0,2.0,0.0,1.0,1.0,5.0,29.0,1.0,0.0,1.0,20.0,0.0,12.0,2.0,0.0
10037,2,0,96.0,0.0,1.0,0.0,-99.0,1.0,15.0,12.0,58.0,4.0,41.0,2.0,1.0,3.0,3.0,0.0,8.0,0.0,0.0,996.0,0.0,1.0,2.0,12.0,1.0,0.0,JN1CV6AP2BM5,2011.0,480.0,2337.0,13.0,58.0,Infiniti,37.0,4.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,12.0,6.0,12.0,0.0,0.0,1.0,13.0,36272.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,999.0,999.0,0.0,0.0,2.0,1.0,January,2019.0,8.0,2019.0,0.0,1.0,2.0,55.0,1.0,1.0,2.0,1.0,0.0,1.0,62.0,99.0,1.0,1.0,302.0,1.0,0.0,1.0,0.0,202304737976.0,12.0,3.0,2.0,2.0,10.0,1.0,4.0,25.0,1.0,0.0,1.0,1.0,0.0,58.0,1.0,0.0
10038,1,0,96.0,83.0,1.0,5060.0,1.3,1.0,125.0,1.0,12.0,14.0,17.0,1.0,1.0,4.0,20.0,7.0,20.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,3.0,0.0,1FMDU32PXVUB,1997.0,460.0,1800.0,7.0,12.0,Ford,401.0,14.0,1.0,0.0,0.0,35.0,7.0,3.0,1.0,0.0,6.0,34.0,0.0,0.0,1.0,1.0,35406.0,2.0,6.0,3.0,Valid license for this class vehicle,0.0,71.0,154.0,0.0,0.0,0.0,0.0,No Record,0.0,0.0,0.0,0.0,1.0,2.0,35.0,1.0,6.0,5.0,1.0,0.0,1.0,87.0,6.0,3.0,2.0,998.0,1.0,1.0,1.0,0.0,202304668299.0,1.0,7.0,1.0,4.0,1.0,1.0,14.0,17.0,1.0,4.0,1.0,20.0,1.0,12.0,1.0,0.0
10044,1,99,92.0,58.0,1.0,3019.0,100.0,1.0,97.0,1.0,37.0,2.0,58.0,1.0,1.0,4.0,20.0,7.0,8.0,1.0,9.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,2HGFG12627H5,2007.0,474.0,1863.0,3.0,37.0,Honda,31.0,2.0,1.0,0.0,0.0,80.0,7.0,3.0,5.0,0.0,6.0,1.0,0.0,0.0,1.0,28.0,39560.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,70.0,170.0,0.0,0.0,0.0,0.0,No Record,0.0,0.0,0.0,0.0,3.0,2.0,70.0,1.0,1.0,2.0,2.0,0.0,1.0,13.0,99.0,1.0,4.0,101.0,1.0,1.0,1.0,0.0,202304807230.0,34.0,1.0,3.0,2.0,2.0,1.0,2.0,19.0,1.0,2.0,1.0,20.0,0.0,37.0,1.0,9.0
